press,headline
조선비즈,"현대차·기아, 프랑스 판매 60%는 친환경차"
조선일보,"현대차, 유엔세계식량계획과 파트너십 체결"
일간스포츠,일본서 맥 못 추는 현대차...캐스퍼 EV로 반전 노린다
한국경제,"현대차, 유엔세계식량계획에 '아이오닉 5' 제공"
경향신문,"현대차·기아, 올해 들어 프랑스에 ‘10대 중 6대’ 꼴로 친환경차 팔았다"
파이낸셜뉴스,'하이브리드 늘려야 산다'..현대차·기아 전략 수정 [FN 모빌리티]
SBS,"현대차·기아 ""프랑스에 판매 신차 10대 중 6대 친환경차"""
노컷뉴스,"""친환경이 대세""…현대차·기아, 프랑스 신차 중 10대 중 6대"
연합뉴스,"현대차·기아, 프랑스에 판매 신차 10대 중 6대는 친환경차"
쿠키뉴스,"“더 나은 내일을 향해”…현대차, 유엔세계식량계획과 파트너십"
머니투데이,시흥 프리미엄아울렛 전기차 충전소서 20대 근로자 감전사
매일경제,"현대차·기아, 프랑스 출시 신차 60%가 친환경차…캐스퍼 EV도 출격"
연합뉴스,"LG전자, 서울시와 전기차 충전인프라 구축 업무협약 체결"
뉴시스,전기차 부진에 ESS 관심…매출 비중 작아도 포트폴리오 다변화
연합뉴스,"LG전자, 서울시와 전기차 충전인프라 구축 업무협약 체결"
머니투데이,"현대차·기아, 프랑스에서 판매한 신차 중 친환경차가 60%"
파이낸셜뉴스,"이볼루션, 'Charge할 때만 차지하기'로 전기차 사용문화 개선에 앞장"
SBS Biz,"'빚더미' 中 헝다, 전기차 계열사 파산신청 접수돼...비구이위안은 법정 청산 심리 또 연기"
SBS Biz,"현대차·기아, 프랑스 판매 車 10대 중 6대 '친환경차'"
매일경제,"“기아, 전기차 부문 글로벌 최고 수준 수익성…하반기에도 승승장구”"
MBC,시흥 아울렛 매장 전기차 충전소서 작업하던 20대 노동자 감전사
경기일보,시흥 프리미엄아울렛 전기차 충전소서 수리작업하던 20대 감전사
한국경제,"현대차·기아, 프랑스 판매 신차 10대 중 6대는 '친환경차'"
SBS,시흥 프리미엄아울렛 전기차 충전소 수리하던 20대 감전사
