press,title,tokenized
연합뉴스,"""금지"" vs ""허용""..아파트 전기차 충전구역 '주차 논란' 가열","['금지', '허용', '아파트', '전기차', '충전', '구역', '주차', '논란', '가열']"
중앙일보,"수천억 보조금 수혜..테슬라 전기차, 한국시장 쓸어간다","['보조금', '수혜', '테슬라', '전기차', '한국', '시장', '간다']"
연합뉴스,전기차 정기검사 때 배터리 확인..정비책임자 교육 의무화,"['전기차', '정기', '검사', '때', '배터리', '확인', '정비', '책임자', '교육', '의무']"
연합뉴스,"전경련 ""전기차 경쟁 심화..충전인프라 확충·자원개발 나서야""","['전경련', '전기차', '경쟁', '심화', '충전', '인프라', '확충', '자원', '개발']"
머니투데이,"아이폰 만드는 폭스콘, '전기차'도 만든다..삼성·LG는?","['아이폰', '폭스콘', '전기차', '도', '삼성']"
연합뉴스,테슬라보다 뜨거운 중국 전기차 주가..이달 230%↑ '거품' 논란,"['테슬라', '중국', '전기차', '주가', '달', '거품', '논란']"
노컷뉴스,"""코나 전기차 13대가 불에 탔다.. 못 밝히나 안 밝히나?""","['코', '전기차', '대가', '불', '못', '안']"
중앙일보,[2020 올해의 차] 미래의 모델하우스.. 전기차 인터페이스의 혁신성 빛나,"['올해', '차', '미래', '모델하우스', '전기차', '인터페이스', '혁신']"
조선비즈,"[전기차시대] ③ '엔진' 역할 하는 배터리 경쟁, 핵심 목표는 '더 싸게'","['전기차', '시대', '엔진', '역할', '배터리', '경쟁', '핵심', '목표', '더']"
지디넷코리아,"""전기차 충전 끝나면 즉시 출차""..충전 에티켓 전파 확산","['전기차', '충전', '즉시', '차', '충전', '에티켓', '전파', '확산']"
뉴시스,떠오르는 수소전기차..니콜라 대박에 시장확대 기대감↑,"['수소', '전기차', '니콜라', '대박', '시장', '확대', '대감']"
연합뉴스,정의선-최태원 이르면 7일 만난다..'전기차 회동' 마무리(종합),"['정의선', '최태원', '전기차', '회', '마무리', '종합']"
뉴시스,잇따른 동맹 구축..전기차 배터리 가격 떨어지나,"['동맹', '구축', '전기차', '배터리', '가격']"
중앙일보,"""4년내 전기차 시대"" 이 절박감이 4대총수 짝짓기 이끌었다","['전기차', '시대', '이', '절박', '감', '총수', '짝짓기']"
중앙SUNDAY,한 번 충전으로 서울~부산..'3세대 전기차' 개발 가속,"['번', '충전', '서울', '부산', '세대', '전기차', '개발', '가속']"
연합뉴스,정의선·구광모 첫 회동..미래 전기차 배터리 협력 논의(종합),"['정의선', '구광모', '첫', '회', '미래', '전기차', '배터리', '협력', '논의', '종합']"
머니투데이,남좋은 일만 한 '전기차 보조금'..너도나도 테슬라만 뽑았다,"['남', '일만', '전기차', '보조금', '도나', '테슬라']"
